cum_deficit,core_cum_deficit,netload_ramp_max,imbalance_duration,max_imbalance_run
6.514625072479248,2.5815582275390625,4.2187275886535645,7.0,3.0
27.13868522644043,14.885022640228271,4.907778263092041,14.0,11.0
20.946218490600586,6.873746871948242,4.950984954833984,9.0,6.0
13.853017807006836,8.159250259399414,4.7428483963012695,8.0,6.0
16.392955780029297,7.147917747497559,5.821385383605957,9.0,6.0
15.761331558227539,6.771007537841797,5.832388877868652,9.0,7.0
12.687039375305176,6.266475677490234,4.6670331954956055,8.0,6.0
10.166922569274902,5.60572624206543,5.096085548400879,7.0,4.0
14.399869918823242,6.4147820472717285,3.977038860321045,8.0,8.0
22.924924850463867,14.564791679382324,4.402388572692871,12.0,10.0
33.125328063964844,15.719118118286133,4.9556427001953125,13.0,11.0
20.487428665161133,8.617491722106934,4.651129245758057,10.0,7.0
23.13063621520996,10.338271141052246,4.9542741775512695,10.0,8.0
36.00048065185547,20.233497142791748,4.292815208435059,13.0,8.0
17.261428833007812,10.05038833618164,4.678986549377441,9.0,7.0
5.726109981536865,1.346489429473877,4.097284317016602,8.0,4.0
32.26267623901367,19.10207462310791,4.041437149047852,15.0,9.0
43.606689453125,17.86228847503662,5.653985977172852,11.0,8.0
50.27119445800781,11.394783973693848,6.189609527587891,13.0,10.0
19.609600067138672,11.37089729309082,4.631315231323242,12.0,7.0
41.78632354736328,18.408860206604004,4.261080741882324,12.0,10.0
19.540634155273438,1.7840499877929688,4.451909065246582,11.0,9.0
39.12476348876953,20.493224143981934,6.712050437927246,13.0,10.0
8.375052452087402,0.7180624008178711,3.9786477088928223,7.0,2.0
