cum_deficit,core_cum_deficit,netload_ramp_max,imbalance_duration,max_imbalance_run
9.306612014770508,4.836137771606445,3.842602014541626,9.0,2.0
17.443649291992188,9.487512111663818,4.016517639160156,11.0,8.0
23.613187789916992,12.468636512756348,5.998499870300293,9.0,5.0
16.133705139160156,6.672152519226074,6.274254322052002,12.0,9.0
11.546313285827637,1.5824108123779297,4.339406967163086,9.0,7.0
14.1737060546875,7.2455854415893555,6.5288896560668945,10.0,7.0
9.256060600280762,7.844482421875,5.497842788696289,6.0,4.0
11.174263954162598,5.5416259765625,5.278951644897461,6.0,6.0
7.9586005210876465,0.989840030670166,4.107726097106934,6.0,3.0
17.38421630859375,6.338412761688232,3.5061769485473633,10.0,6.0
17.72245979309082,6.761305809020996,4.3610334396362305,12.0,9.0
4.983295440673828,0.0,5.473840713500977,4.0,3.0
10.622354507446289,5.0567708015441895,3.394209623336792,8.0,7.0
63.51687240600586,26.438557624816895,5.718932151794434,24.0,12.0
9.44438362121582,9.044037818908691,7.9729084968566895,5.0,3.0
7.949256896972656,3.2991342544555664,3.902158737182617,6.0,5.0
17.04745101928711,12.866256713867188,7.199643135070801,9.0,7.0
18.28409194946289,12.668002128601074,5.99052619934082,11.0,9.0
25.335790634155273,8.175821304321289,4.542032241821289,13.0,9.0
6.135235786437988,6.135235786437988,5.933798313140869,3.0,3.0
1.3545970916748047,0.25602293014526367,5.466353416442871,4.0,2.0
5.552165985107422,0.0,4.305018901824951,4.0,2.0
3.989278793334961,0.0,6.238714694976807,5.0,3.0
8.880983352661133,0.0,4.648168563842773,8.0,6.0
